"","pc.percent_mr01"
"1",13.5626126884487
"2",2.0080537834849
"3",1.81680363845121
"4",1.76703622266812
"5",1.62613296447466
"6",1.58841757391996
"7",1.44095080368432
"8",1.40637839785034
"9",1.39352358724834
"10",1.38233272547526
"11",1.34759729297266
"12",1.33593588999351
"13",1.32488246215282
"14",1.31772533304237
"15",1.30922607243283
"16",1.30193899827518
"17",1.28630494887205
"18",1.28020888452795
"19",1.27664890874544
"20",1.26642358853103
"21",1.26156179235626
"22",1.26039890128271
"23",1.25018250812199
"24",1.24210155748523
"25",1.22847656099553
"26",1.22171649615483
"27",1.21504831339354
"28",1.2070908229318
"29",1.20104684685318
"30",1.19292051657926
"31",1.19034678507019
"32",1.18460108097443
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
