SAMPLE;POP1;POP2;
Piri253;SAS;EST;yes
UFG2997;SAS;EST;
UFG2998;SAS;EST;SI
UFG3150;SAS;EST;
UFG3155;SAS;EST;yes
UFG3192;SAS;EST;
UFG4003;NAS;Amapa;
UFG4007;NAS;Amapa;
UFG4009;NAS;Amapa;
UFG4028;NAS;Amapa;
UFG4030;NAS;Amapa;
UFG4047;NAS;Amapa;
UFG4051;NAS;Amapa;
UFG4097;NAS;Amapa;
UFG4117;NAS;Amapa;
UFG4125;NAS;Amapa;
UFG4154;NAS;Amapa;
UFG4156;NAS;Amapa;
UFG4162;NAS;Amapa;
UFG4222;MJO;Marajo;
UFG4228;MJO;Marajo;
UFG4233;MJO;Marajo;
UFG4521;SAS;EST;
UFG4642;SAS;EST;
UFG5104;SAS;EST;SI
UFG5131;SAS;EST;
UFG5133;SAS;EST;
UFG5138;SAS;EST;
UFG5506;SAS;EST;SI
UFG5635;SAS;Caatinga;
UFG5636;SAS;EST;
UFG5637;SAS;EST;
UFG5638;SAS;Caatinga;
UFG5639;SAS;EST;
UFG5640;SAS;Caatinga;
UFG5641;SAS;EST;SI
UFG5642;SAS;WST;
UFG5643;SAS;EST;
UFG5644;SAS;EST;
UFG5645;SAS;EST;yes
UFG5646;SAS;EST;
UFG5647;SAS;Caatinga;
UFG5648;SAS;Caatinga;
UFG5649;SAS;Caatinga;
UFG5651;NAS;Guyana;
UFG5652;NAS;Guyana;
UFG5654;NAS;Guyana;
UFG5655;NAS;Guyana;
UFG5657;SAS;EST;
UFG5658;SAS;EST;SI
UFG5661;NAS;Para;
UFG5664;NAS;Para;
UFG5668;SAS;Caatinga;
UFG5669;SAS;Caatinga;
UFG5670;SAS;Caatinga;
UFG5671;SAS;Caatinga;
UFG5672;NAS;Guyana;
UFG5689;SAS;EST;
UFG5691;SAS;WST;
UFG5693;SAS;EST;SI
UFG5694;SAS;WST;
UFG5695;SAS;EST;
UFG5697;SAS;EST;
UFG5698;SAS;Caatinga;
UFG5703;SAS;EST;
UFG5717;SAS;EST;
UFG5748;NAS;Guyana;
UFG5750;NAS;Guyana;
UFG5751;NAS;Guyana;
UFG5752;NAS;Guyana;
UFG5753;NAS;Guyana;
UFG5755;NAS;Guyana;
UFG5756;SAS;WST;
UFG5757;SAS;WST;
UFG5758;SAS;WST;
UFG5759;SAS;WST;
UFG5760;SAS;WST;
UFG5761;NAS;Guyana;
UFG5762;NAS;Guyana;
UFG5763;NAS;Guyana;
UFG5765;SAS;Caatinga;
UFG5769;SAS;EST;SI
UFG5913;SAS;EST;
UFG3804;Outgroup;Outgroup;
